"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 113 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 113.","3.20","Astyanax_mexicanus-1.0.2","ensembl","http://www.ensembl.org","113","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Amexicanus_pachon.v113.sqlite","EnsDb.Amexicanus_pachon.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 113.","3.20","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","113","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Amexicanus.v113.sqlite","EnsDb.Amexicanus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 113.","3.20","Anan_2.0","ensembl","http://www.ensembl.org","113","Aotus nancymaae","37293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Anancymaae.v113.sqlite","EnsDb.Anancymaae.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Accipiter nisus","Gene and protein annotations for Accipiter nisus based on Ensembl version 113.","3.20","Accipiter_nisus_ver1.0","ensembl","http://www.ensembl.org","113","Accipiter nisus","211598",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Anisus.v113.sqlite","EnsDb.Anisus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 113.","3.20","ASM2253959v1","ensembl","http://www.ensembl.org","113","Amphiprion ocellaris","80972",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Aocellaris.v113.sqlite","EnsDb.Aocellaris.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 113.","3.20","aptOwe1","ensembl","http://www.ensembl.org","113","Apteryx owenii","8824",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Aowenii.v113.sqlite","EnsDb.Aowenii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Amphiprion percula","Gene and protein annotations for Amphiprion percula based on Ensembl version 113.","3.20","Nemo_v1","ensembl","http://www.ensembl.org","113","Amphiprion percula","161767",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Apercula.v113.sqlite","EnsDb.Apercula.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Anas platyrhynchos platyrhynchos","Gene and protein annotations for Anas platyrhynchos platyrhynchos based on Ensembl version 113.","3.20","CAU_duck1.0","ensembl","http://www.ensembl.org","113","Anas platyrhynchos platyrhynchos","8840",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Aplatyrhynchos_platyrhynchos.v113.sqlite","EnsDb.Aplatyrhynchos_platyrhynchos.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Anas platyrhynchos","Gene and protein annotations for Anas platyrhynchos based on Ensembl version 113.","3.20","ASM874695v1","ensembl","http://www.ensembl.org","113","Anas platyrhynchos","8839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Aplatyrhynchos.v113.sqlite","EnsDb.Aplatyrhynchos.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Acanthochromis polyacanthus","Gene and protein annotations for Acanthochromis polyacanthus based on Ensembl version 113.","3.20","ASM210954v1","ensembl","http://www.ensembl.org","113","Acanthochromis polyacanthus","80966",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Apolyacanthus.v113.sqlite","EnsDb.Apolyacanthus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Apteryx rowi","Gene and protein annotations for Apteryx rowi based on Ensembl version 113.","3.20","aptRow1","ensembl","http://www.ensembl.org","113","Apteryx rowi","308060",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Arowi.v113.sqlite","EnsDb.Arowi.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Anabas testudineus","Gene and protein annotations for Anabas testudineus based on Ensembl version 113.","3.20","fAnaTes1.3","ensembl","http://www.ensembl.org","113","Anabas testudineus","64144",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Atestudineus.v113.sqlite","EnsDb.Atestudineus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Anas zonorhyncha","Gene and protein annotations for Anas zonorhyncha based on Ensembl version 113.","3.20","ASM222487v1","ensembl","http://www.ensembl.org","113","Anas zonorhyncha","75864",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Azonorhyncha.v113.sqlite","EnsDb.Azonorhyncha.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bison bison bison","Gene and protein annotations for Bison bison bison based on Ensembl version 113.","3.20","Bison_UMD1.0","ensembl","http://www.ensembl.org","113","Bison bison bison","43346",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bbison_bison.v113.sqlite","EnsDb.Bbison_bison.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bubo bubo","Gene and protein annotations for Bubo bubo based on Ensembl version 113.","3.20","BubBub1.0","ensembl","http://www.ensembl.org","113","Bubo bubo","30461",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bbubo.v113.sqlite","EnsDb.Bbubo.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bos grunniens","Gene and protein annotations for Bos grunniens based on Ensembl version 113.","3.20","LU_Bosgru_v3.0","ensembl","http://www.ensembl.org","113","Bos grunniens","30521",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bgrunniens.v113.sqlite","EnsDb.Bgrunniens.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bos indicus x Bos taurus","Gene and protein annotations for Bos indicus x Bos taurus based on Ensembl version 113.","3.20","UOA_Brahman_1","ensembl","http://www.ensembl.org","113","Bos indicus x Bos taurus","30522",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bindicus_hybrid.v113.sqlite","EnsDb.Bindicus_hybrid.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Buteo japonicus","Gene and protein annotations for Buteo japonicus based on Ensembl version 113.","3.20","ButJap1.0","ensembl","http://www.ensembl.org","113","Buteo japonicus","224669",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bjaponicus.v113.sqlite","EnsDb.Bjaponicus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Balaenoptera musculus","Gene and protein annotations for Balaenoptera musculus based on Ensembl version 113.","3.20","mBalMus1.v2","ensembl","http://www.ensembl.org","113","Balaenoptera musculus","9771",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bmusculus.v113.sqlite","EnsDb.Bmusculus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bos mutus","Gene and protein annotations for Bos mutus based on Ensembl version 113.","3.20","BosGru_v2.0","ensembl","http://www.ensembl.org","113","Bos mutus","72004",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bmutus.v113.sqlite","EnsDb.Bmutus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Betta splendens","Gene and protein annotations for Betta splendens based on Ensembl version 113.","3.20","fBetSpl5.2","ensembl","http://www.ensembl.org","113","Betta splendens","158456",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Bsplendens.v113.sqlite","EnsDb.Bsplendens.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bos indicus x Bos taurus","Gene and protein annotations for Bos indicus x Bos taurus based on Ensembl version 113.","3.20","UOA_Angus_1","ensembl","http://www.ensembl.org","113","Bos indicus x Bos taurus","30522",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Btaurus_hybrid.v113.sqlite","EnsDb.Btaurus_hybrid.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Bos taurus","Gene and protein annotations for Bos taurus based on Ensembl version 113.","3.20","ARS-UCD1.3","ensembl","http://www.ensembl.org","113","Bos taurus","9913",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Btaurus.v113.sqlite","EnsDb.Btaurus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Chelonoidis abingdonii","Gene and protein annotations for Chelonoidis abingdonii based on Ensembl version 113.","3.20","ASM359739v1","ensembl","http://www.ensembl.org","113","Chelonoidis abingdonii","106734",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cabingdonii.v113.sqlite","EnsDb.Cabingdonii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Colobus angolensis palliatus","Gene and protein annotations for Colobus angolensis palliatus based on Ensembl version 113.","3.20","Cang.pa_1.0","ensembl","http://www.ensembl.org","113","Colobus angolensis palliatus","336983",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cangolensis_palliatus.v113.sqlite","EnsDb.Cangolensis_palliatus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cavia aperea","Gene and protein annotations for Cavia aperea based on Ensembl version 113.","3.20","CavAp1.0","ensembl","http://www.ensembl.org","113","Cavia aperea","37548",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Caperea.v113.sqlite","EnsDb.Caperea.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cercocebus atys","Gene and protein annotations for Cercocebus atys based on Ensembl version 113.","3.20","Caty_1.0","ensembl","http://www.ensembl.org","113","Cercocebus atys","9531",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Catys.v113.sqlite","EnsDb.Catys.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Carassius auratus","Gene and protein annotations for Carassius auratus based on Ensembl version 113.","3.20","ASM336829v1","ensembl","http://www.ensembl.org","113","Carassius auratus","7957",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cauratus.v113.sqlite","EnsDb.Cauratus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyanistes caeruleus","Gene and protein annotations for Cyanistes caeruleus based on Ensembl version 113.","3.20","cyaCae2","ensembl","http://www.ensembl.org","113","Cyanistes caeruleus","156563",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ccaeruleus.v113.sqlite","EnsDb.Ccaeruleus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Castor canadensis","Gene and protein annotations for Castor canadensis based on Ensembl version 113.","3.20","C.can_genome_v1.0","ensembl","http://www.ensembl.org","113","Castor canadensis","51338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ccanadensis.v113.sqlite","EnsDb.Ccanadensis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyprinus carpio carpio","Gene and protein annotations for Cyprinus carpio carpio based on Ensembl version 113.","3.20","Cypcar_WagV4.0","ensembl","http://www.ensembl.org","113","Cyprinus carpio carpio","630221",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ccarpio_carpio.v113.sqlite","EnsDb.Ccarpio_carpio.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyprinus carpio","Gene and protein annotations for Cyprinus carpio based on Ensembl version 113.","3.20","German_Mirror_carp_1.0","ensembl","http://www.ensembl.org","113","Cyprinus carpio","7962",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ccarpio_germanmirror.v113.sqlite","EnsDb.Ccarpio_germanmirror.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyprinus carpio","Gene and protein annotations for Cyprinus carpio based on Ensembl version 113.","3.20","Hebao_red_carp_1.0","ensembl","http://www.ensembl.org","113","Cyprinus carpio","7962",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ccarpio_hebaored.v113.sqlite","EnsDb.Ccarpio_hebaored.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyprinus carpio","Gene and protein annotations for Cyprinus carpio based on Ensembl version 113.","3.20","Hunaghe_carp_2.0","ensembl","http://www.ensembl.org","113","Cyprinus carpio","7962",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ccarpio_huanghe.v113.sqlite","EnsDb.Ccarpio_huanghe.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Camelus dromedarius","Gene and protein annotations for Camelus dromedarius based on Ensembl version 113.","3.20","CamDro2","ensembl","http://www.ensembl.org","113","Camelus dromedarius","9838",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cdromedarius.v113.sqlite","EnsDb.Cdromedarius.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Caenorhabditis elegans","Gene and protein annotations for Caenorhabditis elegans based on Ensembl version 113.","3.20","WBcel235","ensembl","http://www.ensembl.org","113","Caenorhabditis elegans","6239",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Celegans.v113.sqlite","EnsDb.Celegans.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cottoperca gobio","Gene and protein annotations for Cottoperca gobio based on Ensembl version 113.","3.20","fCotGob3.1","ensembl","http://www.ensembl.org","113","Cottoperca gobio","56716",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cgobio.v113.sqlite","EnsDb.Cgobio.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cricetulus griseus","Gene and protein annotations for Cricetulus griseus based on Ensembl version 113.","3.20","CHOK1GS_HDv1","ensembl","http://www.ensembl.org","113","Cricetulus griseus","10029",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cgriseus_chok1gshd.v113.sqlite","EnsDb.Cgriseus_chok1gshd.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cricetulus griseus","Gene and protein annotations for Cricetulus griseus based on Ensembl version 113.","3.20","CriGri_1.0","ensembl","http://www.ensembl.org","113","Cricetulus griseus","10029",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cgriseus_crigri.v113.sqlite","EnsDb.Cgriseus_crigri.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cricetulus griseus","Gene and protein annotations for Cricetulus griseus based on Ensembl version 113.","3.20","CriGri-PICRH-1.0","ensembl","http://www.ensembl.org","113","Cricetulus griseus","10029",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cgriseus_picr.v113.sqlite","EnsDb.Cgriseus_picr.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cervus hanglu yarkandensis","Gene and protein annotations for Cervus hanglu yarkandensis based on Ensembl version 113.","3.20","CEY_v1","ensembl","http://www.ensembl.org","113","Cervus hanglu yarkandensis","84702",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Changlu_yarkandensis.v113.sqlite","EnsDb.Changlu_yarkandensis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Clupea harengus","Gene and protein annotations for Clupea harengus based on Ensembl version 113.","3.20","Ch_v2.0.2v2","ensembl","http://www.ensembl.org","113","Clupea harengus","7950",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Charengus.v113.sqlite","EnsDb.Charengus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Capra hircus","Gene and protein annotations for Capra hircus based on Ensembl version 113.","3.20","Saanen_v1","ensembl","http://www.ensembl.org","113","Capra hircus","9925",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Chircus_gca015443085v1.v113.sqlite","EnsDb.Chircus_gca015443085v1.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Capra hircus","Gene and protein annotations for Capra hircus based on Ensembl version 113.","3.20","ASM2665220v1","ensembl","http://www.ensembl.org","113","Capra hircus","9925",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Chircus_gca026652205v1.v113.sqlite","EnsDb.Chircus_gca026652205v1.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Capra hircus","Gene and protein annotations for Capra hircus based on Ensembl version 113.","3.20","ARS1","ensembl","http://www.ensembl.org","113","Capra hircus","9925",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Chircus.v113.sqlite","EnsDb.Chircus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Choloepus hoffmanni","Gene and protein annotations for Choloepus hoffmanni based on Ensembl version 113.","3.20","choHof1","ensembl","http://www.ensembl.org","113","Choloepus hoffmanni","9358",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Choffmanni.v113.sqlite","EnsDb.Choffmanni.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cebus imitator","Gene and protein annotations for Cebus imitator based on Ensembl version 113.","3.20","Cebus_imitator-1.0","ensembl","http://www.ensembl.org","113","Cebus imitator","2715852",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cimitator.v113.sqlite","EnsDb.Cimitator.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
